rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
3177,"{""Q0"":""Susan""}",survey-text,0,3189,0.0-0.0-0.0,TRUE,NA,NA,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
960,0,html-button-response,1,4152,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
18004,0,html-button-response,2,22159,0.0-1.0,NA,"<h3>Welcome!</h3>  <p style='text-align:left'>Please read the following instructions carefully.</p>  <p style='text-align:left'>In this experiment, you will read 13 statements followed by a question, as in the example below:</p>  <div style='display: flex; justify-content: center;'>    <div style='white-space: nowrap; text-align: left;'>      <p style='text-align:left'> <i>Robin didn't believe that the table wobbled.</i> </p>      <p style='text-align:left'> According to this statement, did the table wobble? </p>    </div>  </div>  <p style='text-align:left'>To answer the question, you will use a slider marked 'no' at one end and 'yes' at the other.</p>  <p style='text-align:left'>The experiment will take about 2.5 minutes and you will be paid £0.39.</p>  <p style='text-align:left' font size=""1"">By clicking the button below, you agree to participate in this experiment conducted by researchers at the University of Stuttgart. You may withdraw from the experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you can contact the requester through Prolific or by writing directly to st166874@stud.uni-stuttgart.de.</p>",NA,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1867,76,html-slider-response,3,24029,0.0-2.0-0.0,NA,"<i>Reese didn't complain that the balloon popped.</i> <br> <br> According to this statement, did the balloon pop?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1218,37,html-slider-response,4,25250,0.0-2.0-0.1,NA,"<i>Charlie didn't shriek that the computer restarted.</i> <br> <br> According to this statement, did the computer restart?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1827,62,html-slider-response,5,27079,0.0-2.0-0.2,NA,"<i>Frankie didn't state that the paper burned.</i> <br> <br> According to this statement, did the paper burn?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1361,38,html-slider-response,6,28443,0.0-2.0-0.3,NA,"<i>Morgan didn't relate that the room darkened.</i> <br> <br> According to this statement, did the room darken?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1747,59,html-slider-response,7,30192,0.0-2.0-0.4,NA,"<i>Jordan didn't shout that the sauce thickened.</i> <br> <br> According to this statement, did the sauce thicken?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1810,29,html-slider-response,8,32005,0.0-2.0-0.5,NA,"<i>Blake didn't discuss that the bolt loosened.</i> <br> <br> According to this statement, did the bolt loosen?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1403,63,html-slider-response,9,33410,0.0-2.0-0.6,NA,"<i>Alex didn't fall when the cane broke.</i> <br> <br> According to this statement, did the cane break?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1817,34,html-slider-response,10,35229,0.0-2.0-0.7,NA,"<i>Dylan didn't underscore that the knot tightened.</i> <br> <br> According to this statement, did the knot tighten?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1405,63,html-slider-response,11,36635,0.0-2.0-0.8,NA,"<i>Evan didn't lie that the airbag deployed.</i> <br> <br> According to this statement, did the airbag deploy?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1540,36,html-slider-response,12,38177,0.0-2.0-0.9,NA,"<i>Stevie didn't flaunt that the gate opened.</i> <br> <br> According to this statement, did the gate open?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
1578,61,html-slider-response,13,39757,0.0-2.0-0.10,NA,"<i>Taylor smiled when the vase didn't shatter.</i> <br> <br> According to this statement, did the vase shatter?",50,NA,c6091023-9500-4461-bcf7-ce9dd7cdbcc9,2024-09-13 16:47:57 CEST
